Memory,Storage,CPU_class,Screen_size,year,price
16,512,3,15.6,2025,168008
32,256,0,15.6,2025,101777
8,256,1,14,2024,100543
32,256,2,14,2025,154965
16,256,1,14,2025,106731
32,512,2,14,2024,157405
8,1024,0,14,2025,83829
16,1024,2,16,2025,144978
32,512,2,14,2024,155661
16,512,2,15.6,2025,139282
16,256,1,16,2024,112663
8,256,1,16,2025,100660
16,512,1,15.6,2025,115371
8,512,1,14,2025,100041
8,256,2,16,2024,128839
32,512,1,14,2025,132589
16,256,1,16,2025,110800
16,256,1,16,2024,113756
16,1024,0,14,2025,93896
32,512,2,16,2024,161749
8,512,3,14,2025,153327
16,1024,1,14,2024,118557
8,1024,3,16,2025,162007
16,1024,2,16,2024,145896
32,512,0,14,2025,104966
16,1024,1,16,2024,121260
32,512,0,16,2024,105012
16,1024,0,16,2025,92853
32,1024,1,14,2025,137498
16,512,1,14,2025,112676
8,1024,3,16,2024,164497
32,512,0,16,2024,107890
32,1024,3,16,2024,189590
8,256,0,15.6,2025,72363
32,1024,0,14,2024,108142
8,512,2,16,2025,136526
32,1024,3,14,2024,185978
32,512,2,15.6,2025,156997
16,1024,0,16,2024,89866
32,256,0,15.6,2024,103885
8,256,1,14,2024,95811
8,512,1,14,2025,102025
8,1024,3,15.6,2025,168927
16,1024,1,16,2024,115847
32,512,0,15.6,2025,105452
8,512,3,16,2025,159848
16,512,0,14,2024,85460
32,1024,0,16,2024,109592
8,512,1,16,2024,104033
32,512,1,15.6,2024,128344
8,1024,2,16,2025,140677
32,256,3,15.6,2025,185278
16,1024,3,15.6,2024,170093
16,256,1,16,2025,110898
8,256,3,16,2025,159893
16,1024,2,16,2025,143772
32,1024,0,14,2024,105390
8,1024,3,16,2024,165190
32,1024,0,14,2025,106673
16,512,2,15.6,2025,139176
32,512,3,15.6,2025,185680
16,256,0,15.6,2024,80452
16,256,1,16,2025,111987
8,256,1,16,2024,103404
16,256,3,14,2025,162602
8,512,0,14,2025,71745
16,1024,2,14,2025,146755
8,1024,1,16,2024,108150
16,512,0,15.6,2025,89118
16,1024,2,16,2025,146635
8,1024,3,16,2025,168012
32,1024,2,16,2025,163400
16,512,0,14,2025,81493
32,256,0,14,2024,97976
8,1024,1,15.6,2025,107263
8,256,2,15.6,2025,126802
16,512,2,16,2025,143542
8,256,0,14,2024,73699
8,1024,2,15.6,2025,134646
16,512,1,14,2025,114057
8,256,2,14,2025,128380
32,256,3,14,2025,182957
8,512,2,14,2025,130587
8,512,0,15.6,2024,78393
16,1024,3,15.6,2025,174201
32,256,0,15.6,2025,103222
8,1024,3,15.6,2025,168353
8,512,0,16,2025,75554
32,1024,2,16,2024,163276
32,256,0,15.6,2024,97580
16,256,0,15.6,2024,86558
16,256,2,16,2025,138312
16,512,2,16,2024,142153
16,1024,0,14,2025,92729
16,256,3,16,2024,168678
8,512,1,14,2024,98294
8,256,1,15.6,2024,103396
8,1024,1,15.6,2024,113099
32,1024,1,15.6,2025,134391
16,1024,0,14,2025,92033
16,1024,1,16,2024,118588
16,512,0,14,2025,85189
32,1024,0,14,2024,107112
8,256,1,16,2024,99828
8,1024,2,16,2024,134832
8,1024,3,14,2025,158936
16,1024,1,16,2024,116577
32,512,1,16,2025,133852
16,1024,3,14,2025,169811
16,512,2,15.6,2025,138733
32,256,3,15.6,2024,183535
8,1024,3,14,2024,162495
16,256,3,14,2024,161313
16,256,3,14,2024,164480
16,512,1,14,2025,110083
32,256,1,15.6,2025,131687
8,1024,1,15.6,2024,106601
32,512,0,14,2025,103919
8,256,2,14,2025,129908
16,1024,2,14,2024,145773
16,512,3,16,2024,168387
32,256,0,14,2025,100014
16,1024,1,16,2024,118576
8,512,0,15.6,2025,79436
8,256,3,16,2025,158913
16,1024,1,15.6,2025,123986
32,512,0,14,2024,100940
8,1024,2,15.6,2025,134490
32,1024,3,14,2025,189767
16,512,3,14,2024,160952
8,1024,0,14,2024,77958
8,256,1,14,2024,96630
16,256,0,14,2024,81848
8,512,1,14,2024,98470
8,1024,2,16,2024,135076
16,512,1,15.6,2024,109360
32,512,0,15.6,2024,106986
8,1024,2,16,2025,140298
8,1024,0,14,2025,77320
8,1024,0,15.6,2024,79226
16,256,0,16,2025,85219
32,1024,0,15.6,2024,108260
32,512,1,15.6,2025,132774
32,512,3,14,2024,181477
32,512,3,14,2025,186387
8,256,0,14,2024,69302
8,256,0,14,2025,73433
16,512,1,16,2025,111182
32,1024,2,15.6,2025,168647
32,1024,2,15.6,2024,167846
8,256,3,16,2025,158663
8,1024,1,14,2024,106722
8,256,0,14,2025,69760
8,1024,0,15.6,2025,86500
16,512,0,16,2024,88641
16,512,0,15.6,2025,84776
16,1024,3,16,2025,174360
8,512,1,14,2024,100702
32,1024,3,16,2024,194361
16,512,2,14,2024,138471
32,1024,2,14,2025,163145
32,512,1,15.6,2024,132199
8,256,3,14,2025,151164
8,1024,0,16,2024,82724
32,512,0,16,2024,101115
16,512,1,15.6,2025,116296
8,256,1,14,2025,98464
16,256,2,14,2025,134506
16,512,2,15.6,2025,138963
32,256,2,15.6,2025,153675
8,1024,1,16,2024,111453
32,1024,1,15.6,2025,135860
32,1024,3,14,2025,185514
8,1024,0,14,2024,82140
8,512,2,16,2025,131762
16,256,2,14,2024,133042
8,512,3,16,2024,158201
8,512,2,14,2024,130520
16,1024,1,16,2025,119317
32,256,1,16,2025,131814
32,512,1,15.6,2024,134516
8,512,1,14,2024,102287
32,256,0,16,2025,102203
8,256,2,14,2024,126982
32,512,0,15.6,2024,103663
32,256,2,16,2025,156065
32,256,3,16,2024,182952
8,512,3,14,2025,154542
32,256,0,16,2024,98584
8,512,3,14,2024,154319
16,256,0,16,2024,80741
16,256,1,15.6,2025,110284
8,512,0,14,2025,75455
8,1024,0,15.6,2024,86446
32,512,0,14,2024,97290
16,1024,0,16,2024,93722
16,512,3,14,2025,164662
16,512,0,14,2025,80162
16,512,1,15.6,2024,110996
32,1024,2,16,2025,162698
8,1024,3,15.6,2024,161734
32,1024,3,15.6,2025,190197
32,1024,0,15.6,2025,110210
16,512,3,16,2025,168982
8,512,2,15.6,2024,127008
8,1024,0,16,2024,81045
32,256,1,16,2025,126499
32,512,3,16,2025,187147
8,1024,1,16,2024,109383
8,512,0,16,2025,79137
8,256,3,14,2024,149775
8,512,3,16,2025,155944
32,256,3,16,2025,187281
32,1024,3,14,2025,185866
8,1024,3,16,2024,161765
32,256,1,14,2025,123172
8,512,0,15.6,2024,80850
16,1024,2,16,2025,148691
16,1024,0,14,2025,90882
32,256,1,15.6,2024,131894
32,512,2,16,2024,155458
8,512,3,15.6,2025,162796
8,512,1,16,2025,103382
8,256,1,14,2025,99985
8,256,2,16,2024,128111
32,1024,0,16,2025,110822
32,256,2,16,2025,160200
8,256,2,14,2025,123194
32,256,2,16,2024,159727
16,256,1,15.6,2025,110033
16,256,3,15.6,2024,165190
16,512,1,15.6,2025,117743
8,1024,2,15.6,2025,134461
32,256,1,15.6,2025,132383
8,256,0,15.6,2025,75542
8,256,2,14,2025,127635
8,512,0,16,2024,74943
8,256,3,14,2025,153267
8,1024,2,14,2024,135388
8,512,1,15.6,2025,104650
32,1024,1,15.6,2025,135240
32,512,2,15.6,2025,156953
8,512,1,16,2025,108585
8,1024,1,14,2024,103276
16,512,1,14,2025,112671
32,1024,1,15.6,2024,140995
32,1024,3,16,2024,187810
32,512,0,15.6,2024,101288
16,1024,3,15.6,2025,175393
16,256,1,15.6,2025,107480
8,1024,2,16,2024,138468
32,1024,0,15.6,2025,112472
32,1024,1,16,2025,139455
8,256,3,16,2024,154671
32,1024,1,14,2024,135578
8,512,0,14,2024,74754
32,256,2,16,2025,154411
32,256,0,14,2024,98505
8,512,1,15.6,2025,108055
16,256,1,14,2024,108335
8,256,2,15.6,2024,127774
16,512,2,14,2024,135573
32,512,2,15.6,2024,154687
8,256,3,16,2025,154707
16,1024,0,16,2025,89839
32,1024,1,16,2025,142643
8,512,0,14,2025,72780
8,1024,0,15.6,2024,85519
16,512,0,14,2025,81349
16,256,2,16,2024,136019
16,256,3,16,2025,165096
8,1024,3,14,2025,160595
32,1024,2,15.6,2025,167387
16,1024,3,15.6,2024,176662
8,256,0,15.6,2024,77002
32,256,3,15.6,2024,179229
32,256,3,14,2025,182214
16,256,0,15.6,2025,81184
8,256,1,15.6,2024,104307
16,512,3,16,2024,167893
16,256,1,16,2025,110441
8,1024,3,16,2024,162006
16,512,3,14,2025,161094
32,256,1,16,2025,127734
8,512,0,15.6,2024,80312
32,1024,1,15.6,2025,140378
8,256,0,16,2025,79508
32,256,1,16,2024,125556
16,256,2,14,2024,134737
8,1024,1,15.6,2025,109057
32,256,0,16,2025,103094
8,512,1,15.6,2024,102564
16,512,2,14,2024,135268
8,1024,0,15.6,2024,83591
32,256,0,16,2024,99217
32,1024,3,14,2025,188753
32,1024,0,16,2024,111956
16,512,1,16,2025,111775
16,256,0,16,2025,88195
16,1024,0,14,2024,89046
32,256,1,14,2025,128556
32,512,2,15.6,2024,159231
8,512,0,15.6,2025,79680
16,256,0,15.6,2024,84729
8,512,0,16,2024,80751
8,256,2,16,2025,130659
32,256,3,14,2025,178226
8,256,0,16,2024,71546
32,256,1,14,2025,126850
16,512,1,15.6,2025,110531
8,1024,1,14,2025,105930
16,256,0,15.6,2024,79486
16,256,0,16,2025,85141
32,256,2,15.6,2024,152283
16,512,1,16,2025,115633
32,256,1,14,2025,128327
32,512,1,15.6,2025,134575
32,256,3,15.6,2024,180476
16,256,2,16,2025,139142
8,512,1,16,2025,106254
16,512,0,15.6,2024,85783
8,512,3,14,2025,157241
16,1024,3,15.6,2025,171681
32,512,0,14,2025,105834
16,1024,3,15.6,2025,170785
8,512,2,14,2024,130634
16,256,0,15.6,2024,83753
32,256,3,14,2024,176959
32,256,0,14,2024,99965
8,512,0,14,2025,71676
16,256,0,16,2025,86945
16,1024,1,16,2025,121470
8,512,2,16,2024,128636
8,1024,1,14,2025,104636
8,1024,0,15.6,2024,85007
32,512,0,16,2025,104093
32,256,3,15.6,2024,185114
32,1024,3,14,2025,191097
32,256,3,14,2024,180586
32,256,0,14,2024,96229
8,1024,3,16,2024,166422
32,512,2,14,2025,159585
8,256,2,16,2025,126482
16,512,0,16,2024,85359
16,512,3,16,2025,166627
16,1024,1,16,2024,118896
8,1024,0,14,2024,81939
8,256,0,16,2024,74544
32,256,1,14,2024,125566
8,512,0,14,2024,72513
8,256,1,14,2025,96130
32,256,1,14,2025,124135
8,256,3,14,2025,155877
32,256,0,14,2025,99819
32,1024,2,14,2024,160024
16,256,3,15.6,2025,167319
8,256,3,14,2025,149516
8,1024,3,14,2024,159031
8,256,0,16,2024,72591
16,1024,3,14,2025,174883
8,256,3,14,2024,153649
16,256,1,14,2025,108942
8,256,1,14,2024,94040
16,1024,2,15.6,2024,143474
8,512,1,16,2024,105834
32,512,1,16,2024,130788
8,256,3,15.6,2024,158394
8,256,3,14,2024,154118
8,512,1,16,2024,104329
32,256,3,14,2025,181996
8,512,1,15.6,2024,107803
16,1024,3,15.6,2024,172688
16,1024,2,16,2024,147890
16,512,1,14,2024,113349
32,256,0,15.6,2024,98989
32,256,2,15.6,2025,159092
16,1024,1,15.6,2025,116780
32,512,0,16,2025,106938
8,512,0,16,2024,80013
32,512,3,15.6,2024,185917
16,256,0,15.6,2025,83964
32,1024,3,16,2025,193689
32,1024,3,15.6,2024,188213
32,1024,0,14,2024,104725
32,1024,2,15.6,2024,162159
16,256,2,14,2025,135782
8,256,1,14,2025,98535
16,256,2,15.6,2025,135956
8,1024,1,16,2025,114812
32,512,1,16,2024,130741
8,512,1,14,2025,101568
8,1024,3,15.6,2024,163278
8,512,2,14,2024,125456
16,1024,1,16,2025,122603
16,1024,3,14,2025,170588
32,256,3,16,2024,178880
16,512,3,16,2025,172462
8,1024,2,16,2025,141276
8,1024,1,14,2024,108788
8,256,3,16,2024,158703
16,256,1,16,2024,114004
32,512,1,15.6,2025,130700
16,1024,1,16,2025,121638
32,256,3,16,2025,184620
8,512,2,14,2025,127138
8,256,1,16,2025,100526
32,256,1,16,2024,125661
8,512,1,14,2025,103275
8,512,2,14,2024,130247
16,512,1,16,2024,115838
32,256,2,14,2024,150530
32,1024,1,15.6,2025,135642
8,256,1,16,2025,102379
32,1024,3,15.6,2024,191375
32,256,1,16,2025,133103
32,1024,0,14,2024,109999
32,512,1,14,2025,132328
8,512,2,16,2025,135552
32,256,0,15.6,2024,104717
8,1024,1,14,2024,106724
32,256,0,14,2025,95380
16,512,2,15.6,2024,136668
32,1024,2,15.6,2025,164122
16,1024,3,14,2024,168061
16,1024,1,15.6,2024,116360
16,256,3,15.6,2024,167626
32,1024,0,15.6,2024,107563
32,1024,3,14,2025,192675
8,256,2,15.6,2024,130087
32,256,3,16,2025,184878
16,1024,3,14,2025,172408
8,256,2,14,2025,124652
16,512,1,16,2025,115921
32,256,2,15.6,2024,152494
32,256,3,16,2025,187252
32,1024,3,15.6,2025,190414
16,256,3,16,2025,163791
32,1024,0,15.6,2024,111689
16,1024,2,14,2024,144252
32,256,0,16,2024,101360
16,256,2,15.6,2025,139060
8,1024,3,14,2025,159276
8,512,0,15.6,2024,78387
8,256,2,15.6,2024,126165
8,1024,3,14,2024,159183
16,256,3,16,2024,162047
16,256,1,14,2024,105659
8,1024,0,14,2024,78650
16,256,3,15.6,2025,164633
16,512,3,16,2025,166273
8,1024,2,16,2025,136294
16,512,3,16,2025,169084
16,512,0,14,2025,81031
16,512,2,16,2024,142261
16,256,0,16,2025,88302
32,512,3,15.6,2025,185414
8,1024,2,15.6,2025,141209
16,256,3,14,2025,158787
16,1024,2,16,2025,144094
8,512,0,16,2025,80521
32,512,0,15.6,2024,106088
8,256,1,15.6,2024,103744
8,512,2,15.6,2025,128455
32,256,0,14,2024,100215
32,256,3,15.6,2024,181012
32,1024,0,16,2024,109177
32,256,1,16,2025,127134
32,512,0,16,2024,108718
16,512,1,15.6,2025,110509
32,256,1,16,2025,132366
8,256,0,15.6,2025,76116
16,512,2,15.6,2024,141881
16,512,3,15.6,2025,169694
32,1024,3,16,2025,195617
32,1024,1,16,2025,136220
16,256,3,14,2025,158007
16,256,3,14,2024,161788
8,256,3,15.6,2025,154831
32,512,1,15.6,2025,128990
16,256,3,16,2025,163239
16,256,2,15.6,2025,136654
32,1024,0,15.6,2025,107562
16,1024,1,16,2024,116205
8,1024,2,15.6,2025,141328
8,256,0,15.6,2025,73497
8,512,1,15.6,2024,107858
32,512,3,15.6,2024,188715
8,256,0,16,2025,72891
8,512,1,16,2025,107469
16,512,0,15.6,2025,87806
32,512,2,15.6,2024,159525
16,1024,0,15.6,2025,89770
32,1024,3,14,2025,186508
32,512,0,15.6,2024,100613
8,1024,3,14,2025,162833
32,1024,3,14,2025,192893
16,512,3,14,2024,165376
16,256,3,15.6,2025,166686
8,1024,0,14,2024,83877
16,1024,3,15.6,2024,174424
32,1024,2,15.6,2025,161321
16,256,3,15.6,2024,166936
8,512,3,16,2024,157667
16,1024,2,15.6,2024,142035
32,512,1,16,2025,132808
32,1024,0,16,2025,115246
8,256,0,14,2025,70059
32,256,1,14,2024,124932
32,1024,3,15.6,2025,189390
8,512,2,16,2024,128212
32,512,1,14,2024,124644
16,512,0,14,2024,84816
16,512,2,16,2025,144663
16,1024,2,16,2025,144896
32,256,3,14,2024,177307
32,1024,2,15.6,2025,162560
32,1024,2,15.6,2025,161215
32,512,3,14,2024,182427
32,512,1,14,2024,129599
8,256,3,15.6,2024,156183
8,1024,1,15.6,2024,109104
32,512,0,14,2025,102440
16,256,1,15.6,2025,107753
8,512,0,14,2025,72234
8,1024,0,16,2025,88204
16,256,3,14,2024,163092
16,256,3,14,2025,165382
8,1024,0,14,2024,83333
8,256,3,16,2024,156945
8,1024,0,16,2024,87176
16,1024,1,15.6,2025,119334
8,1024,2,14,2025,131029
16,1024,1,16,2024,116251
16,256,2,15.6,2024,133876
16,256,3,16,2025,162513
32,512,0,15.6,2025,103814
16,512,0,16,2024,88360
32,1024,3,16,2024,194075
32,1024,2,14,2025,162722
32,512,2,16,2025,156921
32,1024,1,14,2024,135983
16,512,1,15.6,2024,111838
16,512,2,14,2024,133104
8,512,2,16,2025,130995
16,512,0,14,2025,82645
8,256,2,15.6,2024,126194
32,1024,2,15.6,2024,166495
32,512,0,16,2024,106829
8,1024,1,16,2025,113314
32,512,3,14,2025,180112
8,1024,2,16,2025,141213
32,1024,0,14,2025,109417
8,512,0,15.6,2024,74559
16,512,2,15.6,2025,142185
16,256,1,15.6,2024,109868
32,1024,3,16,2024,191265
16,1024,2,16,2024,143647
32,1024,3,15.6,2024,191146
32,1024,0,16,2025,108549
8,1024,1,14,2024,104314
32,1024,0,14,2025,105060
32,512,2,15.6,2025,162633
16,256,0,15.6,2025,82279
32,256,1,16,2025,128592
32,256,1,16,2024,127327
32,512,0,14,2025,105186
32,1024,0,14,2025,108504
16,512,2,16,2025,145103
8,256,3,15.6,2025,154399
32,256,0,14,2024,94919
16,1024,1,16,2025,121200
16,1024,0,15.6,2024,90764
8,512,3,16,2025,162165
8,1024,1,16,2024,113785
8,1024,3,16,2025,165531
32,1024,0,15.6,2025,114771
8,1024,0,16,2025,85174
8,512,2,16,2024,129917
32,512,2,14,2024,154912
16,512,3,14,2025,161298
16,256,3,14,2024,163432
32,512,3,15.6,2024,181811
16,512,2,15.6,2025,139470
8,512,1,14,2025,102523
32,512,1,15.6,2024,127344
8,512,0,14,2024,70635
16,512,1,15.6,2024,114569
32,256,1,15.6,2025,125574
32,512,0,15.6,2025,104817
16,512,0,15.6,2025,85710
32,1024,2,15.6,2025,162825
16,512,1,16,2024,111260
16,512,3,16,2025,170857
8,256,1,16,2025,106362
16,256,3,15.6,2025,162121
16,512,2,15.6,2025,144677
32,512,0,14,2024,101758
8,512,0,15.6,2025,79133
32,512,2,14,2024,156679
32,1024,2,15.6,2025,166633
32,256,1,14,2025,128558
16,256,2,15.6,2025,137868
8,256,3,16,2024,156017
8,256,1,16,2025,101341
32,1024,0,15.6,2025,107842
32,256,1,14,2024,126317
16,512,3,14,2024,160269
8,256,3,14,2025,151205
8,1024,3,16,2024,161504
16,1024,3,16,2024,171276
16,256,0,15.6,2025,85110
8,256,1,14,2024,99028
32,256,0,14,2025,98368
16,512,0,16,2025,84471
8,1024,3,14,2024,160467
8,512,3,14,2025,154822
16,1024,0,14,2024,90764
32,512,2,14,2024,155632
32,256,2,15.6,2025,155933
16,512,0,16,2025,87646
8,256,3,14,2025,156730
32,1024,3,16,2024,193800
16,256,2,14,2025,134976
8,512,2,14,2025,128834
16,512,1,14,2024,106212
8,256,3,16,2024,159290
8,512,1,15.6,2024,102553
16,512,3,16,2025,166798
32,256,0,14,2024,101995
32,256,0,14,2024,99750
32,256,3,16,2024,179129
16,256,1,14,2025,104495
8,512,1,14,2024,97204
16,256,3,15.6,2025,165797
32,1024,0,15.6,2024,106573
8,256,2,14,2025,129467
32,512,1,15.6,2025,135495
32,1024,0,16,2024,111118
8,512,3,15.6,2024,158933
32,1024,0,15.6,2024,108335
32,256,0,14,2025,95512
8,256,2,15.6,2024,129900
8,256,3,16,2025,153564
16,256,0,15.6,2024,79684
32,256,2,16,2024,154240
8,256,2,14,2024,121100
16,1024,3,14,2024,169472
8,256,0,15.6,2024,75661
16,1024,3,14,2024,172411
16,1024,2,15.6,2025,147834
8,1024,3,16,2025,168525
32,256,1,15.6,2025,128252
32,1024,3,15.6,2024,193790
32,512,2,16,2024,158802
8,1024,0,14,2025,78784
8,512,3,16,2025,163303
8,1024,3,14,2025,160200
16,512,1,16,2025,110960
8,256,2,15.6,2025,126941
32,512,1,14,2024,126934
32,256,2,16,2024,154561
32,1024,3,14,2025,189197
8,256,3,15.6,2025,159065
8,256,0,16,2024,73089
32,512,3,16,2024,185916
8,512,1,16,2024,103471
16,256,2,15.6,2025,140574
32,1024,3,15.6,2025,189261
8,1024,1,14,2025,104828
8,1024,1,16,2024,110774
8,512,1,15.6,2024,105375
8,512,3,16,2024,161114
8,512,1,15.6,2025,105717
32,512,1,16,2025,134941
16,256,1,14,2024,106142
32,256,0,16,2024,98013
32,256,1,14,2024,121929
32,512,0,14,2025,98310
8,256,0,15.6,2025,73632
8,256,2,15.6,2025,128964
32,1024,0,16,2024,109601
8,512,2,15.6,2024,131485
8,512,3,14,2024,154845
32,512,2,14,2025,157424
32,1024,1,15.6,2024,138336
32,1024,0,15.6,2025,109545
32,256,3,15.6,2024,180770
8,1024,3,14,2024,161681
32,512,2,15.6,2024,158771
32,1024,0,15.6,2024,108518
32,512,0,16,2024,103393
32,256,1,15.6,2025,130552
32,1024,0,16,2025,112929
16,256,3,14,2024,158080
8,1024,0,16,2024,83278
16,256,1,14,2025,111142
8,256,3,14,2024,148290
8,512,3,16,2025,162591
8,1024,0,15.6,2024,80305
32,512,1,15.6,2025,132058
16,256,2,15.6,2024,136395
16,256,2,16,2025,134831
32,1024,3,14,2025,192323
16,1024,3,14,2024,169639
16,256,3,14,2024,164634
8,512,0,16,2025,77044
32,256,0,14,2024,100930
16,256,2,15.6,2025,141379
8,1024,0,15.6,2025,84455
32,512,1,14,2025,126621
32,256,0,15.6,2025,103482
8,512,3,14,2024,155392
8,512,0,14,2024,77556
8,256,0,14,2025,71514
8,512,0,16,2025,76898
8,256,0,15.6,2024,71106
32,256,2,16,2024,157339
16,1024,1,15.6,2025,123793
32,1024,3,14,2025,185227
32,256,1,15.6,2025,130924
16,1024,2,16,2025,151165
16,512,2,15.6,2024,136598
8,1024,2,14,2024,130881
8,1024,3,14,2024,162536
16,512,0,16,2024,87934
8,512,2,15.6,2025,128551
8,512,3,16,2024,161425
8,1024,3,15.6,2024,164187
32,256,2,14,2024,155258
16,256,2,16,2025,141774
32,256,3,16,2024,185250
16,256,2,16,2025,138877
8,256,3,16,2024,153764
16,256,0,14,2024,80048
8,1024,1,16,2024,107556
32,256,0,14,2024,99271
8,1024,0,16,2024,80822
16,256,1,14,2025,108089
32,1024,0,15.6,2024,106435
16,256,1,16,2024,109146
16,512,1,14,2025,108857
16,256,2,14,2025,135960
32,512,3,16,2025,189044
8,512,3,14,2024,151458
16,512,1,15.6,2024,115802
32,512,1,16,2024,134636
16,512,3,15.6,2024,165738
16,1024,0,15.6,2024,93272
8,512,2,15.6,2024,130221
8,512,1,15.6,2025,102234
32,256,0,15.6,2025,102229
16,512,2,15.6,2025,137691
8,256,1,14,2024,101028
16,256,0,15.6,2025,87394
16,1024,2,16,2025,150323
